marble_ID,relative_path,created,last_updated
APP-IDEA-A,../_mms-md/APP-IDEA-A.md,2023-11-08,2024-09-20
CIRCULAR-ECON-G,../_mms-md/CIRCULAR-ECON-G.md,2023-11-24,2024-09-20
MMSSystemIntervention-A,../_mms-md/MMSSystemIntervention-A.md,2024-01-18,2024-11-19
CUTE-A,../_mms-md/CUTE-A.md,2023-11-02,2024-09-20
INTRINSIC-EDUCATION-A,../_mms-md/INTRINSIC-EDUCATION-A.md,2023-11-01,2024-09-20
DRAWING-PRACTICE,../_mms-md/DRAWING-PRACTICE.md,2024-10-30,2024-11-02
OPP-LIB-PRAC-A,../_mms-md/OPP-LIB-PRAC-A.md,2023-07-31,2024-09-20
INTERVIEWING-A,../_mms-md/INTERVIEWING-A.md,2024-02-17,2024-09-20
POUCH-OF-QUOTES,../_mms-md/POUCH-OF-QUOTES.md,2024-09-21,2024-11-05
ARCHITECTURE-BIOPHILIC-BUILDING-EXAMPLES,../_mms-md/ARCHITECTURE-BIOPHILIC-BUILDING-EXAMPLES.md,2024-11-05,2024-11-15
MMSCollaborationA,../_mms-md/MMSCollaborationA.md,2023-11-14,2024-09-20
CLIMATE-CHANGE-A,../_mms-md/CLIMATE-CHANGE-A.md,2023-10-09,2024-09-20
MESH-CAP-MEDIA,../_mms-md/MESH-CAP-MEDIA.md,2024-02-07,2024-09-20
SMALLBUSINESS-RENT,../_mms-md/SMALLBUSINESS-RENT.md,2023-09-18,2024-09-20
SYSTEMS-THINKING-10Tools-for-a-zero-carbon-world,../_mms-md/SYSTEMS-THINKING-10Tools-for-a-zero-carbon-world.md,2024-11-05,2024-11-15
PROBLEMS-B,../_mms-md/PROBLEMS-B.md,2024-02-26,2024-09-20
MMSFinanceVisual,../_mms-md/MMSFinanceVisual.md,2023-09-17,2024-11-15
CERT-ORG,../_mms-md/CERT-ORG.md,2023-11-09,2024-09-20
KNOWLEDGE-ORGANIZATION-A,../_mms-md/KNOWLEDGE-ORGANIZATION-A.md,2023-10-19,2024-09-20
SOMATIC-HEAL-WHITENESS,../_mms-md/SOMATIC-HEAL-WHITENESS.md,2023-10-05,2024-09-21
ENG-WAR,../_mms-md/ENG-WAR.md,2023-10-10,2024-09-20
CIRCULAR-ECON-C,../_mms-md/CIRCULAR-ECON-C.md,2023-11-08,2024-09-20
IPCC-TRANSITION,../_mms-md/IPCC-TRANSITION.md,2023-09-08,2024-09-20
MMSEconomicDemocracy,../_mms-md/MMSEconomicDemocracy.md,2024-11-26,2024-11-28
SOLAR-ENERGY-A,../_mms-md/SOLAR-ENERGY-A.md,2023-10-11,2024-09-20
CO-CREATIVE-ECONOMY-A,../_mms-md/CO-CREATIVE-ECONOMY-A.md,2024-02-18,2024-10-14
MESH-CAP-I,../_mms-md/MESH-CAP-I.md,2024-01-30,2024-09-20
INTO-PERSPECTIVE,../_mms-md/INTO-PERSPECTIVE.md,2024-08-07,2024-09-20
MMSHealthAutopoiesis,../_mms-md/MMSHealthAutopoiesis.md,2024-01-19,2024-09-20
CAPABILITIES-FOR-LIFE-FRAMEWORK,../_mms-md/CAPABILITIES-FOR-LIFE-FRAMEWORK.md,2024-07-11,2024-09-20
